initial,medial,nucleus,coda,tone,syllable
"","","iê","ch","5","iêch_5"
"","","iê","ch","6","iêch_6"
"","","iê","i","1","iêi_1"
"","","iê","i","2","iêi_2"
"","","iê","i","3","iêi_3"
"","","iê","i","4","iêi_4"
"","","iê","i","5","iêi_5"
"","","iê","i","6","iêi_6"
"","","iê","m","1","iêm_1"
"","","iê","m","2","iêm_2"
"","","iê","m","3","iêm_3"
"","","iê","m","4","iêm_4"
"","","iê","m","5","iêm_5"
"","","iê","m","6","iêm_6"
"","","iê","n","1","iên_1"
"","","iê","n","2","iên_2"
"","","iê","n","3","iên_3"
"","","iê","n","4","iên_4"
"","","iê","n","5","iên_5"
"","","iê","n","6","iên_6"
"","","iê","ng","1","iêng_1"
"","","iê","ng","2","iêng_2"
"","","iê","ng","3","iêng_3"
"","","iê","ng","4","iêng_4"
"","","iê","ng","5","iêng_5"
"","","iê","ng","6","iêng_6"
"","","iê","nh","1","iênh_1"
"","","iê","nh","2","iênh_2"
"","","iê","nh","3","iênh_3"
"","","iê","nh","4","iênh_4"
"","","iê","nh","5","iênh_5"
"","","iê","nh","6","iênh_6"
"","","iê","o","1","iêo_1"
"","","iê","o","2","iêo_2"
"","","iê","o","3","iêo_3"
"","","iê","o","4","iêo_4"
"","","iê","o","5","iêo_5"
"","","iê","o","6","iêo_6"
"","","iê","p","1","iêp_1"
"","","iê","p","2","iêp_2"
"","","iê","p","3","iêp_3"
"","","iê","p","4","iêp_4"
"","","iê","p","5","iêp_5"
"","","iê","p","6","iêp_6"
"","","iê","t","1","iêt_1"
"","","iê","t","2","iêt_2"
"","","iê","t","3","iêt_3"
"","","iê","t","4","iêt_4"
"","","iê","t","5","iêt_5"
"","","iê","t","6","iêt_6"
"","","iê","u","1","iêu_1"
"","","iê","u","2","iêu_2"
"","","iê","u","3","iêu_3"
"","","iê","u","4","iêu_4"
"","","iê","u","5","iêu_5"
"","","iê","u","6","iêu_6"
"","","iê","y","1","iêy_1"
"","","iê","y","2","iêy_2"
"","","iê","y","3","iêy_3"
"","","iê","y","4","iêy_4"
"","","iê","y","5","iêy_5"
"","","iê","y","6","iêy_6"
"","","o","","1","o_1"
"","","o","","2","o_2"
"","","o","","3","o_3"
"","","o","","4","o_4"
"","","o","","5","o_5"
"","","o","","6","o_6"
"","","o","c","1","oc_1"
"","","o","c","2","oc_2"
"","","o","c","3","oc_3"
"","","o","c","4","oc_4"
"","","o","c","5","oc_5"
"","","o","c","6","oc_6"
"","","o","ch","1","och_1"
"","","o","ch","2","och_2"
"","","o","ch","3","och_3"
"","","o","ch","4","och_4"
"","","o","ch","5","och_5"
"","","o","ch","6","och_6"
"","","o","i","1","oi_1"
"","","o","i","2","oi_2"
"","","o","i","3","oi_3"
"","","o","i","4","oi_4"
"","","o","i","5","oi_5"
"","","o","i","6","oi_6"
"","","o","m","1","om_1"
"","","o","m","2","om_2"
"","","o","m","3","om_3"
"","","o","m","4","om_4"
"","","o","m","5","om_5"
"","","o","m","6","om_6"
"","","o","n","1","on_1"
"","","o","n","2","on_2"
"","","o","n","3","on_3"
"","","o","n","4","on_4"
"","","o","n","5","on_5"
"","","o","n","6","on_6"
"","","o","ng","1","ong_1"
"","","o","ng","2","ong_2"
"","","o","ng","3","ong_3"
"","","o","ng","4","ong_4"
"","","o","ng","5","ong_5"
"","","o","ng","6","ong_6"
"","","o","nh","1","onh_1"
"","","o","nh","2","onh_2"
"","","o","nh","3","onh_3"
"","","o","nh","4","onh_4"
"","","o","nh","5","onh_5"
"","","o","nh","6","onh_6"
"","","o","o","1","oo_1"
"","","o","o","2","oo_2"
"","","o","o","3","oo_3"
"","","o","o","4","oo_4"
"","","o","o","5","oo_5"
"","","o","o","6","oo_6"
"","","o","p","1","op_1"
"","","o","p","2","op_2"
"","","o","p","3","op_3"
"","","o","p","4","op_4"
"","","o","p","5","op_5"
"","","o","p","6","op_6"
"","","o","t","1","ot_1"
"","","o","t","2","ot_2"
"","","o","t","3","ot_3"
"","","o","t","4","ot_4"
"","","o","t","5","ot_5"
"","","o","t","6","ot_6"
"","","o","u","1","ou_1"
"","","o","u","2","ou_2"
"","","o","u","3","ou_3"
"","","o","u","4","ou_4"
"","","o","u","5","ou_5"
"","","o","u","6","ou_6"
"","","o","y","1","oy_1"
"","","o","y","2","oy_2"
"","","o","y","3","oy_3"
"","","o","y","4","oy_4"
"","","o","y","5","oy_5"
"","","o","y","6","oy_6"
"","","oo","c","1","ooc_1"
"","","oo","c","2","ooc_2"
"","","oo","c","3","ooc_3"
"","","oo","c","4","ooc_4"
"","","oo","c","5","ooc_5"
"","","oo","c","6","ooc_6"
"","","oo","ch","1","ooch_1"
"","","oo","ch","2","ooch_2"
"","","oo","ch","3","ooch_3"
"","","oo","ch","4","ooch_4"
"","","oo","ch","5","ooch_5"
"","","oo","ch","6","ooch_6"
"","","oo","i","1","ooi_1"
"","","oo","i","2","ooi_2"
"","","oo","i","3","ooi_3"
"","","oo","i","4","ooi_4"
"","","oo","i","5","ooi_5"
"","","oo","i","6","ooi_6"
"","","oo","m","1","oom_1"
"","","oo","m","2","oom_2"
"","","oo","m","3","oom_3"
"","","oo","m","4","oom_4"
"","","oo","m","5","oom_5"
